Time Stamp, NOCNC1-INST (PPB), NO2CNC1-INST (PPB), SMPFLW-INST (cc/m)
07/01/2018 00:01:01,     0.1915,    10.5398,    968.408
07/01/2018 00:02:02,     0.1972,    10.5956,    973.596
07/01/2018 00:03:01,     0.1947,    10.6540,    968.298
07/01/2018 00:04:01,     0.1988,    10.6851,    968.522
07/01/2018 00:05:01,     0.2021,    10.7208,    991.836
07/01/2018 00:06:01,     0.2110,    10.7688,    968.288
07/01/2018 00:07:01,     0.2139,    10.8696,    968.320
07/01/2018 00:08:01,     0.2168,    10.9316,    991.918
07/01/2018 00:09:01,     0.2243,    10.9652,    988.780
07/01/2018 00:10:01,     0.2297,    11.0859,    968.411
07/01/2018 00:11:01,     0.2253,    11.2284,    974.088
07/01/2018 00:12:01,     0.2301,    11.3531,    992.130
07/01/2018 00:13:01,     0.2284,    11.6259,    992.108
07/01/2018 00:14:01,     0.2299,    11.8203,    970.299
07/01/2018 00:15:01,     0.2318,    11.8940,    991.972
07/01/2018 00:16:01,     0.2323,    11.9827,    968.421
07/01/2018 00:17:01,     0.2344,    12.0827,    968.471
07/01/2018 00:18:01,     0.2300,    12.1870,    992.026
07/01/2018 00:19:01,     0.2331,    12.1646,    968.399
07/01/2018 00:20:01,     0.2299,    12.2190,    968.332
07/01/2018 00:21:01,     0.2312,    12.1847,    991.953
07/01/2018 00:22:01,     0.2290,    12.1556,    991.814
07/01/2018 00:23:01,     0.2385,    12.1716,    968.402
07/01/2018 00:24:01,     0.2441,    12.3013,    991.874
07/01/2018 00:25:01,     0.2573,    12.5059,    990.823
07/01/2018 00:26:01,     0.2674,    12.8069,    968.383
07/01/2018 00:27:01,     0.2752,    13.1693,    968.493
07/01/2018 00:28:01,     0.2816,    13.4475,    991.998
07/01/2018 00:29:01,     0.2915,    13.8424,    992.073
07/01/2018 00:30:01,     0.3055,    14.0679,    968.932
07/01/2018 00:31:01,     0.3112,    14.2916,    992.016
07/01/2018 00:32:01,     0.3087,    14.5668,    968.288
07/01/2018 00:33:01,     0.3152,    14.7466,    968.455
07/01/2018 00:34:01,     0.3057,    14.8739,    968.995
07/01/2018 00:35:01,     0.3037,    14.8702,    968.383
07/01/2018 00:36:01,     0.3098,    14.8315,    968.405
07/01/2018 00:37:01,     0.3119,    14.9697,    991.922
07/01/2018 00:38:01,     0.3170,    15.0810,    991.899
07/01/2018 00:39:01,     0.3184,    15.2898,    968.402
07/01/2018 00:40:01,     0.3221,    15.4813,    991.887
07/01/2018 00:41:01,     0.3293,    15.6251,    991.884
07/01/2018 00:42:01,     0.3333,    15.8090,    968.329
07/01/2018 00:43:01,     0.3484,    15.9630,    968.421
07/01/2018 00:44:01,     0.3438,    16.0953,    991.894
07/01/2018 00:45:01,     0.3380,    16.3583,    991.906
07/01/2018 00:46:01,     0.3359,    16.4941,    968.348
07/01/2018 00:47:01,     0.3339,    16.5817,    991.798
07/01/2018 00:48:01,     0.3306,    16.6045,    991.467
07/01/2018 00:49:01,     0.3325,    16.6018,    968.253
07/01/2018 00:50:01,     0.3211,    16.5632,    968.730
07/01/2018 00:51:01,     0.3129,    16.4759,    968.326
07/01/2018 00:52:01,     0.3150,    16.4482,    968.405
07/01/2018 00:53:01,     0.3179,    16.3933,    968.547
07/01/2018 00:54:01,     0.3133,    16.3163,    991.855
07/01/2018 00:55:01,     0.3113,    16.1785,    968.433
07/01/2018 00:56:01,     0.3043,    16.0675,    991.966
