Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S0-114-0903
Application version = 2.2.4.0
Flow = 149 ml/min
Timebase = 60 s
Start date = 2018/06/19
Start time = 07:40:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC

2018/06/19,07:40:00,833488,925540,"-10,476",149,31,0,63,
2018/06/19,07:41:00,833269,925555,"-10,504",149,30,0,63,-1064
2018/06/19,07:42:00,833121,925493,"-10,515",149,29,0,63,-422
2018/06/19,07:43:00,833003,925385,"-10,517",149,29,0,63,-95
2018/06/19,07:44:00,832960,925334,"-10,517",149,29,0,62,13
2018/06/19,07:45:00,832839,925168,"-10,513",149,29,0,62,130
2018/06/19,07:46:00,832769,925042,"-10,508",149,28,0,62,199
2018/06/19,07:47:00,832785,925013,"-10,503",149,28,0,62,193
2018/06/19,07:48:00,832810,924976,"-10,496",149,28,0,62,267
2018/06/19,07:49:00,832785,924886,"-10,489",149,28,0,61,256
2018/06/19,07:50:00,832796,924834,"-10,483",149,28,0,61,265
2018/06/19,07:51:00,832800,924778,"-10,476",149,28,0,61,249
2018/06/19,07:52:00,832824,924737,"-10,469",149,28,0,58,279
2018/06/19,07:53:00,832753,924603,"-10,463",149,28,0,58,227
2018/06/19,07:54:00,832855,924726,"-10,464",149,28,0,58,-40
2018/06/19,07:55:00,832942,924624,"-10,442",149,28,0,58,819
2018/06/19,07:56:00,832984,924567,"-10,431",149,28,0,58,427
2018/06/19,07:57:00,832963,924459,"-10,422",149,28,0,57,349
2018/06/19,07:58:00,833040,924469,"-10,414",149,28,0,57,311
2018/06/19,07:59:00,832978,924333,"-10,407",149,28,0,57,277
2018/06/19,08:00:00,832981,924276,"-10,400",149,28,0,57,249
2018/06/19,08:01:00,832908,924146,"-10,395",149,28,0,57,202
2018/06/19,08:02:00,832857,924030,"-10,388",149,28,0,56,245
2018/06/19,08:03:00,832864,923977,"-10,382",149,28,0,56,251
2018/06/19,08:04:00,832856,923919,"-10,376",149,28,0,56,203
