Equipment number;CNB0100003974;;;Life(%);94
Time;Eq. NO2 (oxidant gases) Level (µg/m3);Bat.(mV) ;Temp. °C;Humidity %;
19/06/2018 09:59:00;0;4380;26;50;
19/06/2018 10:00:00;478.5;4400;27;47;
19/06/2018 10:01:00;0;4420;28;44;
19/06/2018 10:02:00;0;4440;28;43;
19/06/2018 10:03:00;30.624;4160;27;43;
19/06/2018 10:04:00;1.914;4120;25;46;
19/06/2018 10:05:00;40.194;4120;25;48;
19/06/2018 10:06:00;49.764;4120;25;49;
19/06/2018 10:07:00;47.85;4120;25;50;
19/06/2018 10:08:00;36.366;4120;24;51;
19/06/2018 10:09:00;30.624;4120;24;52;
19/06/2018 10:10:00;19.14;4120;24;52;
19/06/2018 10:11:00;19.14;4120;24;52;
19/06/2018 10:12:00;19.14;4120;24;53;
19/06/2018 10:13:00;19.14;4120;24;53;
19/06/2018 10:14:00;17.226;4120;24;53;
19/06/2018 10:15:00;15.312;4120;24;53;
19/06/2018 10:16:00;0;4120;24;52;
19/06/2018 10:17:00;1.914;4120;24;52;
19/06/2018 10:18:00;11.484;4120;24;51;
19/06/2018 10:19:00;26.796;4120;23;51;
19/06/2018 10:20:00;47.85;4120;23;51;
19/06/2018 10:21:00;44.022;4120;23;52;
19/06/2018 10:22:00;36.366;4120;23;53;
19/06/2018 10:23:00;28.71;4120;23;54;
19/06/2018 10:24:00;17.226;4120;23;54;
19/06/2018 10:25:00;13.398;4120;23;55;
19/06/2018 10:26:00;15.312;4120;23;55;
19/06/2018 10:27:00;13.398;4120;23;55;
19/06/2018 10:28:00;11.484;4120;23;55;
19/06/2018 10:29:00;13.398;4120;23;55;
19/06/2018 10:30:00;1.914;4120;23;54;
19/06/2018 10:31:00;0;4120;23;53;
19/06/2018 10:32:00;9.57;4120;23;52;
19/06/2018 10:33:00;13.398;4120;23;52;
19/06/2018 10:34:00;26.796;4120;23;52;
19/06/2018 10:35:00;45.936;4120;23;53;
19/06/2018 10:36:00;44.022;4120;23;54;
19/06/2018 10:37:00;36.366;4120;23;55;
19/06/2018 10:38:00;21.054;4120;22;56;
19/06/2018 10:39:00;17.226;4120;23;56;
19/06/2018 10:40:00;13.398;4120;23;56;
19/06/2018 10:41:00;11.484;4120;23;56;
19/06/2018 10:42:00;13.398;4120;23;56;
19/06/2018 10:43:00;13.398;4120;23;56;
19/06/2018 10:44:00;13.398;4100;23;56;
19/06/2018 10:45:00;1.914;4100;23;56;
19/06/2018 10:46:00;0;4100;23;55;
19/06/2018 10:47:00;3.828;4100;22;53;
19/06/2018 10:48:00;32.538;4100;22;53;
19/06/2018 10:49:00;44.022;4100;22;54;
19/06/2018 10:50:00;38.28;4100;22;55;
19/06/2018 10:51:00;32.538;4100;22;56;
19/06/2018 10:52:00;21.054;4100;22;56;
19/06/2018 10:53:00;15.312;4100;22;56;
19/06/2018 10:54:00;15.312;4100;22;56;
19/06/2018 10:55:00;9.57;4100;22;56;
19/06/2018 10:56:00;13.398;4100;22;56;
19/06/2018 10:57:00;11.484;4100;22;56;
19/06/2018 10:58:00;0;4100;22;56;
19/06/2018 10:59:00;0;4100;22;55;
19/06/2018 11:00:00;3.828;4100;22;54;
19/06/2018 11:01:00;17.226;4100;22;53;
19/06/2018 11:02:00;44.022;4100;22;54;
19/06/2018 11:03:00;45.936;4100;22;55;
19/06/2018 11:04:00;38.28;4100;22;56;
19/06/2018 11:05:00;26.796;4100;22;56;
19/06/2018 11:06:00;19.14;4100;22;57;
19/06/2018 11:07:00;13.398;4100;22;57;
19/06/2018 11:08:00;17.226;4100;22;57;
19/06/2018 11:09:00;15.312;4100;22;57;
19/06/2018 11:10:00;11.484;4100;22;57;
19/06/2018 11:11:00;9.57;4100;22;57;
19/06/2018 11:12:00;0;4100;22;56;
19/06/2018 11:13:00;0;4100;22;55;
19/06/2018 11:14:00;9.57;4100;22;54;
19/06/2018 11:15:00;11.484;4100;22;54;
19/06/2018 11:16:00;21.054;4100;22;54;
19/06/2018 11:17:00;44.022;4100;22;54;
19/06/2018 11:18:00;44.022;4100;22;55;
19/06/2018 11:19:00;36.366;4100;22;56;
19/06/2018 11:20:00;26.796;4100;22;57;
19/06/2018 11:21:00;17.226;4100;22;57;
19/06/2018 11:22:00;15.312;4100;22;57;
19/06/2018 11:23:00;15.312;4100;22;57;
