id, timestamp, node_id, node_name, gps_lat, gps_lng, gps_alt, temperatre, humidity, pressure, pm2.5, pm10, pm1.0, formaldehyde, no2,bc
17,2018-03-06 15:51:00+01, 35669077133271345, AirParif6, 48.858291626, 2.33878993988, 0, 23.8, 28,972.5,,,,,,
32,2018-03-06 15:53:00+01, 35669077133271345, AirParif6, 48.7088699341, 2.14879059792, 163, 23.7, 36.5,972.4,,,,,,
57,2018-03-06 15:55:00+01, 35669077133271345, AirParif6, 48.7088928223, 2.14874196053, 170, 23.2, 37.3,972.4,,,,,,
76,2018-03-06 15:57:00+01, 35669077133271345, AirParif6, 48.7089347839, 2.14871716499, 178, 22.4, 38,972.8,,,,,,
91,2018-03-06 15:59:00+01, 35669077133271345, AirParif6, 48.7089271545, 2.14871191978, 180, 21.4, 40,972.8,,,,,,
102,2018-03-06 16:02:00+01, 35669077133271345, AirParif6, 48.7089424133, 2.14870762825, 184, 20.3, 41.4,972.8,,,,,,
114,2018-03-06 16:04:00+01, 35669077133271345, AirParif6, 48.7089118958, 2.14873194695, 174, 19.5, 42.8,972.7,,,,,,
123,2018-03-06 16:06:00+01, 35669077133271345, AirParif6, 48.7089271545, 2.14873290062, 182, 18.8, 44.1,972.9,,,,,,
129,2018-03-06 16:08:00+01, 35669077133271345, AirParif6, 48.708946228, 2.14874887466, 179, 18.1, 46.7,972.8,,,,,,
145,2018-03-06 16:10:00+01, 35669077133271345, AirParif6, 48.7089576721, 2.1487569809, 181, 17.7, 46.9,972.8,,,,,,
161,2018-03-06 16:12:00+01, 35669077133271345, AirParif6, 48.7089576721, 2.14875459671, 183, 17.2, 48.1,972.8,,,,,,
178,2018-03-06 16:14:00+01, 35669077133271345, AirParif6, 48.7089576721, 2.14875817299, 182, 16.8, 48.7,972.8,,,,,,
191,2018-03-06 16:17:00+01, 35669077133271345, AirParif6, 48.7089385986, 2.14877462387, 181, 16.6, 50.8,972.9,,,,,,
205,2018-03-06 16:19:00+01, 35669077133271345, AirParif6, 48.7089347839, 2.14878463745, 178, 16.4, 51.3,972.9,,,,,,
217,2018-03-06 16:21:00+01, 35669077133271345, AirParif6, 48.7089271545, 2.14879107475, 178, 16.1, 51,972.8,,,,,,
231,2018-03-06 16:23:00+01, 35669077133271345, AirParif6, 48.7089080811, 2.14880251884, 177, 15.9, 51.7,972.4,,,,,,
244,2018-03-06 16:25:00+01, 35669077133271345, AirParif6, 48.7089271545, 2.1488058567, 180, 15.8, 52.6,972.7,,,,,,
254,2018-03-06 16:27:00+01, 35669077133271345, AirParif6, 48.7089118958, 2.14882421494, 174, 15.7, 52.5,972.5,,,,,,
262,2018-03-06 16:29:00+01, 35669077133271345, AirParif6, 48.7089309692, 2.14882206917, 172, 15.9, 52.7,972.5,,,,,,
275,2018-03-06 16:32:00+01, 35669077133271345, AirParif6, 48.7089309692, 2.1488199234, 174, 15.8, 52.9,972.4,,,,,,
282,2018-03-06 16:34:00+01, 35669077133271345, AirParif6, 48.7089080811, 2.14884305, 169, 15.7, 53,972.4,,,,,,
292,2018-03-06 16:36:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14881634712, 167, 15.7, 53.4,972.8,,,,,,
303,2018-03-06 16:38:00+01, 35669077133271345, AirParif6, 48.7088890076, 2.14882397652, 159, 15.7, 53,972.4,,,,,,
313,2018-03-06 16:40:00+01, 35669077133271345, AirParif6, 48.708896637, 2.1488173008, 152, 15.5, 52.7,972.4,,,,,,
328,2018-03-06 16:42:00+01, 35669077133271345, AirParif6, 48.708896637, 2.14881706238, 154, 15.6, 53.9,972.4,,,,,,
337,2018-03-06 16:44:00+01, 35669077133271345, AirParif6, 48.7089080811, 2.14879417419, 154, 15.3, 53.6,972.3,,,,,,
348,2018-03-06 16:47:00+01, 35669077133271345, AirParif6, 48.7089157104, 2.1487903595, 157, 15.3, 54.5,972.5,,,,,,
357,2018-03-06 16:49:00+01, 35669077133271345, AirParif6, 48.7088851929, 2.14880871773, 158, 15.3, 54.2,972.3,,,,,,
363,2018-03-06 16:51:00+01, 35669077133271345, AirParif6, 48.7088890076, 2.14880871773, 166, 15.2, 54.7,972.3,,,,,,
373,2018-03-06 16:53:00+01, 35669077133271345, AirParif6, 48.7088851929, 2.14879989624, 166, 15.1, 54.6,972.3,,,,,,
387,2018-03-06 16:55:00+01, 35669077133271345, AirParif6, 48.7088699341, 2.14881920815, 164, 15.1, 55,972.3,,,,,,
398,2018-03-06 16:57:00+01, 35669077133271345, AirParif6, 48.7088661194, 2.14882016182, 162, 14.9, 54.4,972.5,,,,,,
407,2018-03-06 16:59:00+01, 35669077133271345, AirParif6, 48.70885849, 2.14884090424, 162, 14.8, 42.3,972.5,,,,,,
418,2018-03-06 17:06:00+01, 35669077133271345, AirParif6, 48.7074165344, 2.15310096741, -191, 15.6, 50,972.5,,,,,,
428,2018-03-06 17:08:00+01, 35669077133271345, AirParif6, 48.7072181702, 2.14812350273, -162, 16.3, 48.6,972.5,,,,,,
437,2018-03-06 17:10:00+01, 35669077133271345, AirParif6, 48.709438324, 2.14885210991, -12, 16.9, 47.1,972.5,,,,,,
448,2018-03-06 17:12:00+01, 35669077133271345, AirParif6, 48.7088356018, 2.1494333744, -26, 17.5, 45.9,972.4,,,,,,
456,2018-03-06 17:14:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 17.9, 44.4,972.3,,,,,,
466,2018-03-06 17:16:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 18.2, 43.3,972.4,,,,,,
474,2018-03-06 17:19:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 18.6, 42.5,972.3,,,,,,
486,2018-03-06 17:21:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 18.8, 41.7,972.3,,,,,,
495,2018-03-06 17:23:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 19, 40.9,972.3,,,,,,
504,2018-03-06 17:25:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 19.1, 40.2,972.3,,,,,,
518,2018-03-06 17:27:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 19.4, 39.8,972.2,,,,,,
526,2018-03-06 17:29:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 19.6, 39.3,972.2,,,,,,
535,2018-03-06 17:31:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 19.8, 38.7,972.3,,,,,,
545,2018-03-06 17:34:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20, 38.6,972.2,,,,,,
555,2018-03-06 17:36:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.1, 38,972.2,,,,,,
562,2018-03-06 17:38:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.3, 37.6,972.1,,,,,,
572,2018-03-06 17:40:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.4, 37.2,972.1,,,,,,
588,2018-03-06 17:42:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.5, 36.8,972,,,,,,
599,2018-03-06 17:44:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.6, 36.4,972,,,,,,
607,2018-03-06 17:46:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.7, 36,972.2,,,,,,
615,2018-03-06 17:49:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 20.9, 35.8,972.3,,,,,,
625,2018-03-06 17:51:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21, 35.4,972.3,,,,,,
632,2018-03-06 17:53:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.1, 35.2,972.4,,,,,,
640,2018-03-06 17:55:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.2, 34.9,972.4,,,,,,
650,2018-03-06 17:57:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.4, 34.8,972.8,,,,,,
655,2018-03-06 17:59:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.4, 34.4,973.1,,,,,,
665,2018-03-06 18:01:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.4, 34.2,973.1,,,,,,
672,2018-03-06 18:04:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.7, 34.2,973.1,,,,,,
678,2018-03-06 18:06:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.5, 33.7,973.1,,,,,,
684,2018-03-06 18:08:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.7, 33.6,973,,,,,,
694,2018-03-06 18:10:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.7, 33.3,973,,,,,,
704,2018-03-06 18:12:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.8, 33.2,972.9,,,,,,
709,2018-03-06 18:14:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.8, 33,973.1,,,,,,
715,2018-03-06 18:16:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.9, 32.9,973,,,,,,
723,2018-03-06 18:19:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 21.9, 32.6,973.1,,,,,,
732,2018-03-06 18:21:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22, 32.5,973,,,,,,
737,2018-03-06 18:23:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.1, 32.5,973,,,,,,
744,2018-03-06 18:25:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.1, 32.2,972.8,,,,,,
756,2018-03-06 18:27:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.2, 32.1,972.9,,,,,,
762,2018-03-06 18:29:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.2, 32,972.8,,,,,,
767,2018-03-06 18:31:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.3, 31.9,972.7,,,,,,
775,2018-03-06 18:34:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.3, 31.7,972.8,,,,,,
782,2018-03-06 18:36:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.3, 31.6,972.9,,,,,,
790,2018-03-06 18:38:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.4, 31.6,973,,,,,,
795,2018-03-06 18:40:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.4, 31.4,973,,,,,,
805,2018-03-06 18:42:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.5, 31.4,973,,,,,,
813,2018-03-06 18:44:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.5, 31.2,973.1,,,,,,
819,2018-03-06 18:46:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 22.5, 31.1,973.1,,,,,,
